RPM;DISC_D1;D2_HUB;LENGTH2;weight
3000;835;1400;548.37;2729.45
3000;650;1400;646.8;3464.5
3000;800;1500;446.03;3451.185
3000;800;1500;769.13;6017.086
3000;950;1750;469.19;4222.644
3000;950;1750;853.16;7238.91
3000;800;1755;555.85;7103.336
3000;800;1755;555.84;7103.336
3000;800;1700;1060;12742.914
3000;900;1940;610.79;8989.2
3000;900;1880;1220;13841.029
3000;948;1782;497.24;4781.76
3000;948;1700;875;5296.658
3000;850;1582;497.24;4910.174
3000;850;1582;497.26;4910.174
3000;850;1500;875;7464.325
3000;800;1463.05;485.56;3965.248
3000;800;1400;760;6767.408
3600;800;1250;374.91;1958.469
3600;800;1250;642.46;4799.226
3600;800;1350;392.71;2121.6
3600;800;1350;710.08;4880
3600;621;1485;414.7;3950.302
3600;621;1416;729;4840.495
3600;850;1462;463.52;3745.244
3600;850;1416;883.5;8248.476
3600;1000;1615;511.88;4187.304
3600;1000;1570;1016;8462.214
4800;610;1048;310.53;1327.46
4800;610;996;547;3384.664
4800;710;1096;347.38;1997.48
4800;710;1062;663;5305.152
5500;515;798.57;264.94;795.748
5500;515;764;414.5;1560.492
5500;530;870;265.9;824.836
5500;530;870;467.13;1555.194
5500;530;957;303.33;1286.376
5500;530;927.5;578;2882.154
5500;400;780;205;821.784
5500;400;780;400;1804.96
5500;535;870;488;2205.631
5500;535;870;477;2205.631
5500;535;927.37;265.12;895.85
5500;535;927.37;265.57;895.85
6500;445;810;256.16;709.798
6500;445;784.5;489;1673.282
6500;455;736;404;1147.008
6500;455;784.47;224.3;976.914
8000;345;562.5;167.26;337.974
8000;345;562.5;288.74;772.92
8000;360;637.49;182.45;549.562
8000;360;598;328;697.945
3000;800;1220;428.2;2472.787
3000;800;1220;432;2472.787
3000;800;1220;390;2472.787
3000;800;1200;660;5514.694
3000;800;1600;670;3558.378
3000;800;1600;405;5938.992
3000;835;1500;646.8;4801.387
12000;216;400;166.12;178.8
12000;216;400;102.872;92.6
5500;450;870;325;1648.276
5500;450;870;194;1138.418
5500;530;870;570;2505.414
3000;1250;1600;1063.8;7529.95
3000;1250;1750;1063.8;8080.588
3000;800;1580;440;3655.516
3000;835;1400;335;2226.306
3000;900;1400;390;2237.04
3000;830;1500;400;3596.765
6000;;625;203;1383.998
